steps	mean	median	std	min	max
0	-0.13	-0.13	0.04	-0.2	-0.07
10000	2.16	1.32	2.52	-0.03	9.31
20000	2.28	2.21	1.83	-0.2	4.68
30000	-0.12	-0.12	0.0	-0.12	-0.12
40000	-0.14	-0.15	0.01	-0.16	-0.13
50000	-0.05	0.03	0.42	-0.87	0.75
60000	-0.19	-0.19	0.08	-0.36	-0.08
70000	-0.37	-0.25	0.42	-1.25	0.28
80000	-0.08	-0.16	0.18	-0.26	0.32
90000	0.14	0.11	0.12	-0.01	0.38
100000	18.12	18.17	2.05	14.46	21.1
110000	-0.13	-0.13	0.01	-0.15	-0.11
120000	27.2	20.98	8.41	19.26	41.62
130000	69.17	74.7	21.11	34.25	91.44
140000	-0.1	-0.1	0.02	-0.12	-0.07
150000	0.54	0.58	0.17	0.17	0.72
160000	9.15	9.92	3.68	2.04	13.54
170000	-0.12	-0.12	0.01	-0.13	-0.1
180000	7.21	7.21	2.94	1.02	10.98
190000	8.3	12.25	6.52	0.16	15.5
200000	4.83	3.55	2.47	2.96	10.08
210000	3.14	1.2	3.54	1.03	10.88
220000	0.23	0.23	0.02	0.19	0.26
230000	1.75	1.67	0.51	1.07	2.66
240000	19.81	17.7	8.33	12.66	42.39
250000	46.89	44.28	19.38	18.11	99.24
260000	1.21	-0.11	2.08	-0.12	5.55
270000	3.42	3.51	0.71	2.61	4.5
280000	4.82	4.55	1.71	2.38	8.9
290000	15.2	12.81	8.39	5.98	31.57
300000	8.26	8.52	2.47	4.22	12.18
310000	11.07	7.12	7.87	5.43	30.4
320000	4.8	4.63	1.8	2.37	9.41
330000	5.26	4.18	3.69	2.21	13.13
340000	8.25	5.77	5.92	0.26	17.84
350000	9.68	5.61	12.86	0.6	45.18
360000	0.49	0.36	0.43	0.13	1.71
370000	2.1	0.52	4.67	0.33	16.08
380000	2.65	0.38	6.83	0.19	23.13
390000	10.41	2.64	11.82	0.38	29.29
400000	2.38	0.89	3.22	0.36	10.73
410000	14.71	14.89	5.04	6.53	24.5
420000	21.58	23.36	8.01	7.61	30.78
430000	0.62	0.59	0.16	0.36	0.97
440000	12.92	8.23	8.67	5.12	33.61
450000	3.17	1.15	6.02	0.45	21.15
460000	26.44	16.35	26.46	5.9	80.4
470000	9.72	10.44	8.33	0.35	26.06
480000	1.36	0.5	2.36	0.43	8.42
490000	16.79	12.77	13.86	0.93	50.08
500000	3.62	1.24	5.04	0.23	15.33
510000	2.69	0.74	5.98	0.12	20.57
520000	18.97	11.25	16.19	0.37	50.82
530000	0.22	0.21	0.09	0.05	0.33
540000	31.91	30.05	14.99	11.64	59.93
550000	29.58	17.97	19.08	11.18	58.82
560000	11.89	12.09	1.56	8.66	13.82
570000	40.33	34.58	14.36	22.9	69.38
580000	41.02	34.31	17.77	24.26	87.36
590000	46.48	46.13	4.3	39.64	55.76
600000	42.37	48.04	19.6	10.88	69.21
610000	48.75	47.9	7.98	37.62	60.37
620000	45.41	48.55	25.93	8.57	100.26
630000	61.07	60.03	15.09	42.73	99.99
640000	58.28	59.73	23.34	14.82	107.61
650000	93.56	96.05	10.43	68.43	103.69
660000	77.69	69.09	23.73	46.59	109.59
670000	85.5	97.12	24.56	28.06	100.02
680000	94.97	105.3	15.39	68.8	108.48
690000	76.93	73.33	18.96	53.23	108.14
700000	90.89	101.1	17.75	55.11	104.54
710000	100.32	106.45	11.97	72.75	109.27
720000	79.42	75.69	23.38	51.8	107.11
730000	72.8	68.47	12.3	60.74	104.42
740000	97.96	97.42	1.85	96.26	103.03
750000	68.63	63.75	12.26	51.22	89.32
760000	100.95	101.38	1.42	98.52	102.68
770000	82.24	82.57	14.03	59.78	107.89
780000	101.54	105.82	11.52	67.38	106.79
790000	90.25	99.16	15.53	59.36	102.83
800000	97.55	97.41	1.26	95.65	99.67
