steps	mean	median	std	min	max
0	-0.28	-0.28	0.04	-0.34	-0.18
10000	-0.17	-0.18	0.08	-0.32	-0.06
20000	-0.12	-0.12	0.0	-0.12	-0.11
30000	-0.12	-0.12	0.0	-0.12	-0.11
40000	10.39	9.5	5.85	1.3	21.53
50000	-0.09	-0.09	0.01	-0.11	-0.09
60000	-0.12	-0.12	0.0	-0.12	-0.12
70000	0.26	0.19	0.27	-0.07	0.86
80000	-0.07	-0.1	0.21	-0.28	0.41
90000	-0.1	-0.14	0.13	-0.24	0.11
100000	0.11	-0.01	0.26	-0.13	0.68
110000	-0.18	-0.18	0.0	-0.19	-0.17
120000	0.9	0.58	1.04	0.27	3.97
130000	-0.29	-0.09	0.52	-1.6	0.08
140000	0.87	0.86	0.2	0.54	1.18
150000	-0.12	-0.12	0.0	-0.12	-0.11
160000	0.67	0.4	0.91	-0.13	2.8
170000	-0.09	-0.09	0.01	-0.11	-0.07
180000	2.14	1.5	1.44	0.85	5.02
190000	8.78	8.76	0.36	8.23	9.4
200000	27.1	1.53	35.76	0.22	91.39
210000	29.65	26.26	7.18	18.34	40.9
220000	52.07	57.94	30.93	2.66	95.98
230000	36.79	35.86	23.65	2.19	95.49
240000	26.42	26.52	14.05	2.78	45.3
250000	22.12	21.9	7.54	8.49	33.63
260000	28.39	23.18	20.26	3.91	75.72
270000	35.1	33.6	9.42	22.15	50.76
280000	21.22	18.43	16.62	4.58	52.23
290000	30.1	29.6	8.38	14.51	43.25
300000	14.24	14.91	6.35	4.19	23.54
310000	8.04	8.98	4.32	2.43	16.18
320000	33.08	36.24	27.87	0.52	83.58
330000	5.41	4.24	2.02	3.99	9.79
340000	7.68	4.87	8.75	3.97	33.88
350000	9.93	5.88	11.36	4.24	43.49
360000	4.78	4.66	0.48	4.14	5.51
370000	25.83	15.1	23.24	0.6	58.75
380000	3.83	3.81	0.1	3.71	3.99
390000	55.93	50.75	28.61	15.1	104.63
400000	30.43	30.16	2.38	26.99	34.25
410000	43.38	46.35	22.05	9.08	72.42
420000	32.61	33.96	7.84	22.23	43.89
430000	37.18	33.0	14.29	6.32	55.92
440000	39.31	37.92	6.93	27.76	50.43
450000	40.91	39.75	9.02	30.25	65.63
460000	47.09	48.06	17.64	26.59	87.36
470000	62.37	57.68	20.85	33.1	107.65
480000	48.55	45.79	20.06	22.79	92.52
490000	34.2	32.22	19.56	10.22	81.23
500000	37.6	38.84	6.24	22.26	44.58
510000	16.71	10.84	10.17	9.75	43.81
520000	41.42	43.42	6.95	29.61	48.68
530000	39.51	39.45	8.33	23.84	54.3
540000	35.63	35.9	15.9	9.07	64.66
550000	37.29	34.08	12.12	25.74	59.86
560000	80.24	83.19	25.78	36.34	108.15
570000	70.05	69.65	17.64	43.18	101.39
580000	38.94	39.44	21.5	8.19	79.82
590000	47.39	56.46	19.28	15.1	70.3
600000	62.93	62.64	24.32	9.16	95.42
610000	35.48	34.22	4.47	27.75	42.64
620000	66.5	66.8	11.52	48.95	82.81
630000	61.37	62.97	41.96	11.3	108.42
640000	78.09	75.62	18.32	54.26	107.12
650000	48.5	51.35	11.17	27.45	64.75
660000	67.24	69.39	10.85	51.53	82.46
670000	74.07	67.64	20.38	49.46	108.54
680000	61.02	58.17	15.17	40.44	88.43
690000	69.71	61.61	18.03	48.37	101.77
700000	53.78	55.68	7.4	40.55	64.84
710000	85.9	91.56	20.54	37.39	103.84
720000	84.32	99.0	28.28	14.7	104.27
730000	73.27	86.57	29.3	27.81	101.62
740000	84.03	99.67	36.09	9.13	106.83
750000	69.05	71.15	13.87	43.51	87.58
760000	97.89	106.13	22.01	32.74	107.66
770000	95.2	97.53	10.62	74.63	108.11
780000	101.23	101.44	3.22	97.1	106.23
790000	100.9	100.09	2.7	98.13	105.69
800000	99.91	100.13	1.47	97.97	102.5
810000	98.56	98.06	1.35	96.64	100.97
820000	100.5	99.9	1.28	98.98	102.63
830000	73.15	72.98	10.35	59.28	98.22
840000	106.56	106.68	1.23	104.17	108.39
850000	98.29	97.44	2.48	96.4	105.2
860000	106.82	106.34	1.02	105.62	108.79
