steps	mean	median	std	min	max
0	-0.15	-0.14	0.03	-0.19	-0.12
10000	-0.04	-0.18	0.47	-0.28	1.37
20000	-0.12	-0.11	0.01	-0.13	-0.11
30000	-0.12	-0.12	0.0	-0.12	-0.12
40000	6.99	10.52	5.21	0.35	12.26
50000	-0.11	-0.12	0.0	-0.12	-0.11
60000	0.03	0.03	0.02	0.01	0.07
70000	1.4	0.59	1.6	0.32	5.65
80000	-0.15	-0.15	0.0	-0.16	-0.14
90000	-0.16	-0.16	0.0	-0.16	-0.15
100000	4.42	2.93	4.11	1.43	16.07
110000	-0.09	-0.1	0.01	-0.11	-0.07
120000	3.41	1.13	5.71	0.59	20.03
130000	-0.15	-0.15	0.01	-0.16	-0.13
140000	-0.12	-0.12	0.0	-0.13	-0.12
150000	-0.1	-0.1	0.01	-0.11	-0.09
160000	-0.11	-0.11	0.0	-0.12	-0.1
170000	17.83	14.79	10.07	3.89	32.79
180000	9.27	5.72	8.11	2.85	25.44
190000	67.13	86.39	33.86	2.59	91.7
200000	34.56	24.58	21.53	17.89	92.9
210000	38.09	39.05	19.7	2.4	73.94
220000	28.59	12.24	31.01	2.21	96.58
230000	16.24	6.56	14.35	4.38	39.75
240000	8.62	2.97	11.97	1.75	35.92
250000	35.04	35.61	10.25	15.38	52.22
260000	3.24	-0.03	8.68	-0.1	29.19
270000	13.83	5.51	15.61	2.16	45.59
280000	0.93	0.49	1.25	0.38	4.68
290000	1.7	0.64	2.19	-0.05	5.35
300000	37.13	9.7	41.2	0.0	104.1
310000	7.84	6.28	8.67	0.26	31.76
320000	5.21	5.8	3.2	0.72	11.33
330000	3.71	3.13	3.36	-0.03	7.99
340000	5.69	5.31	1.44	4.15	9.46
350000	4.85	4.39	0.92	3.95	6.25
360000	6.93	7.52	1.46	3.78	8.43
370000	7.12	6.99	0.46	6.63	8.1
380000	7.89	7.86	0.61	7.15	9.32
390000	0.17	0.17	0.02	0.13	0.2
400000	10.77	10.09	2.39	7.83	16.05
410000	8.45	8.4	0.75	7.35	9.92
420000	8.87	8.96	0.64	7.37	9.72
430000	18.9	15.69	9.35	8.41	41.91
440000	10.51	1.01	14.25	0.86	34.49
450000	13.77	11.77	4.77	9.18	26.8
460000	52.67	38.34	31.64	20.33	107.67
470000	48.08	36.77	30.19	12.01	108.57
480000	51.87	37.91	25.31	29.16	104.07
490000	46.83	39.24	26.63	19.91	102.83
500000	72.19	58.27	27.07	43.14	105.4
510000	39.26	31.8	17.63	21.87	76.52
520000	56.84	43.07	32.59	25.94	105.96
530000	57.81	46.67	25.74	32.37	100.77
540000	96.23	103.54	21.02	33.48	105.34
550000	72.38	68.17	18.96	41.12	106.31
560000	85.53	97.91	21.27	42.81	103.1
570000	79.88	96.99	30.16	27.94	105.72
580000	102.65	103.25	2.0	97.38	104.34
590000	81.26	83.29	14.51	56.08	100.5
600000	89.38	99.5	18.7	54.09	103.46
610000	85.51	99.7	23.53	30.52	104.91
620000	87.81	98.49	21.34	40.77	104.33
630000	96.13	102.24	19.43	38.11	105.71
640000	87.16	101.48	23.89	38.59	103.33
650000	0.17	0.2	0.08	0.03	0.3
660000	90.23	101.96	24.84	40.42	106.41
670000	92.42	97.5	16.91	41.95	100.81
680000	89.56	100.88	17.3	56.72	104.52
690000	99.97	100.56	2.38	96.56	103.4
700000	94.55	98.81	14.43	52.09	105.26
710000	19.96	0.79	38.86	0.15	99.45
720000	84.38	97.2	20.57	45.72	102.29
730000	99.55	104.44	8.42	83.07	105.9
740000	93.95	99.2	15.81	46.71	101.16
750000	80.23	95.38	30.37	0.52	99.24
760000	96.52	96.47	1.38	94.53	99.16
770000	94.7	97.54	11.48	61.6	102.88
780000	98.06	97.95	1.6	95.7	100.6
790000	95.8	96.32	1.33	93.5	97.33
800000	97.59	98.39	3.47	88.73	102.19
810000	98.51	98.71	1.92	94.79	101.17
820000	96.53	97.29	4.63	84.4	103.54
830000	96.77	96.71	1.07	95.53	98.95
840000	90.29	96.41	13.19	53.5	98.47
850000	94.95	97.73	12.98	57.08	104.02
860000	93.63	96.59	13.05	55.34	103.88
870000	95.64	95.88	0.69	94.51	96.79
880000	99.04	97.91	2.85	96.26	103.95
890000	89.99	95.89	19.52	31.56	98.73
900000	95.69	95.56	1.34	93.78	99.05
910000	95.49	98.45	15.81	49.39	105.7
920000	98.21	97.46	2.13	96.56	103.75
930000	99.41	98.28	2.59	96.94	104.32
940000	94.87	95.15	4.76	86.3	102.73
950000	96.63	95.97	2.51	93.6	101.86
960000	95.33	95.32	1.23	93.46	98.0
970000	95.46	95.7	0.74	93.79	96.52
980000	98.11	97.41	2.51	94.59	103.65
990000	96.68	96.88	1.81	93.99	100.71
1000000	98.61	98.76	1.38	96.42	100.86
1010000	96.21	95.75	1.07	95.3	99.11
1020000	96.06	96.26	0.84	94.45	97.33
1030000	94.63	94.56	0.68	93.66	95.84
1040000	95.22	95.26	0.51	94.05	95.8
1050000	93.0	94.67	5.24	77.41	95.63
1060000	88.71	96.02	21.84	23.22	97.44
1070000	79.03	95.62	34.07	10.84	97.39
1080000	87.42	95.03	23.94	15.64	96.72
1090000	96.84	96.68	1.14	95.25	99.17
1100000	94.93	94.82	0.58	93.96	95.88
1110000	96.37	96.27	0.52	95.48	97.3
1120000	96.14	96.02	1.19	94.09	98.43
1130000	94.95	94.88	0.55	93.77	95.78
1140000	71.17	95.29	37.09	12.57	95.97
1150000	77.51	93.78	32.94	10.32	95.5
1160000	95.56	95.46	0.65	94.7	96.57
1170000	95.52	95.4	0.6	94.62	96.51
1180000	55.51	60.44	40.28	9.99	97.02
1190000	88.21	96.14	24.17	15.7	97.04
1200000	94.62	94.43	0.92	93.11	96.51
1210000	95.0	95.33	0.75	93.66	95.91
1220000	95.0	94.98	1.04	92.46	96.27
1230000	95.23	95.38	0.8	93.62	96.38
1240000	95.15	95.01	0.65	94.35	96.11
1250000	95.01	95.02	0.75	93.62	96.29
1260000	94.73	94.89	0.78	93.38	95.77
1270000	94.59	94.45	0.85	93.68	96.02
1280000	94.49	94.5	0.71	93.08	95.46
