steps	mean	median	std	min	max
0	-0.16	-0.17	0.08	-0.26	0.02
10000	0.91	0.59	1.25	-0.45	3.7
20000	2.77	2.91	1.46	0.18	5.13
30000	-0.12	-0.12	0.0	-0.13	-0.12
40000	2.3	1.01	3.55	0.04	12.6
50000	-0.13	-0.13	0.01	-0.14	-0.12
60000	-0.11	-0.11	0.0	-0.11	-0.1
70000	-0.19	-0.24	0.13	-0.29	0.16
80000	-0.16	-0.15	0.12	-0.34	0.13
90000	22.34	20.07	19.08	2.48	69.39
100000	-0.13	-0.13	0.01	-0.14	-0.12
110000	0.98	0.76	0.76	0.06	2.18
120000	-0.05	-0.04	0.03	-0.1	-0.0
130000	-0.1	-0.08	0.06	-0.22	-0.06
140000	-0.13	-0.13	0.0	-0.13	-0.12
150000	-0.1	-0.1	0.01	-0.11	-0.09
160000	-0.13	-0.13	0.01	-0.14	-0.12
170000	-0.1	-0.1	0.0	-0.1	-0.09
180000	0.52	0.59	0.22	-0.11	0.75
190000	0.05	0.06	0.03	-0.01	0.09
200000	-0.08	-0.09	0.01	-0.11	-0.06
210000	-0.19	-0.23	0.07	-0.27	-0.08
220000	0.11	0.12	0.05	0.04	0.19
230000	-0.09	-0.09	0.01	-0.11	-0.08
240000	-0.08	-0.14	0.16	-0.23	0.34
250000	3.19	2.98	2.49	0.52	8.11
260000	3.33	0.96	5.59	0.36	19.59
270000	1.44	1.33	0.52	0.85	2.58
280000	0.77	0.77	0.56	-0.11	1.61
290000	1.49	1.11	0.64	0.83	2.73
300000	8.72	4.19	7.33	1.87	21.31
310000	42.27	49.66	25.82	3.2	75.09
320000	12.67	5.48	9.69	3.89	25.67
330000	24.01	24.11	5.23	15.15	30.42
340000	9.79	9.47	3.76	4.57	19.08
350000	9.37	4.97	9.4	4.02	34.9
360000	32.29	30.7	16.13	6.27	71.86
370000	15.24	10.46	14.28	2.42	47.59
380000	48.92	37.8	45.42	2.95	108.97
390000	5.68	5.24	0.87	4.72	7.22
400000	15.3	4.81	31.01	3.73	108.31
410000	10.43	7.42	8.96	5.57	37.02
420000	30.04	16.16	32.5	6.95	108.43
430000	20.66	18.93	12.43	6.05	36.97
440000	10.8	10.44	2.74	7.73	18.48
450000	17.6	11.85	12.46	7.15	42.28
460000	27.87	22.8	14.52	16.66	63.83
470000	14.14	18.2	7.22	4.96	23.99
480000	22.57	20.24	6.6	17.27	40.23
490000	29.43	32.31	11.62	11.05	46.29
500000	54.67	39.07	32.43	23.24	103.23
510000	17.07	12.29	9.68	6.31	33.97
520000	56.72	54.25	17.57	32.22	91.21
530000	46.77	26.49	38.34	12.59	106.28
540000	49.82	19.0	44.78	6.23	105.13
550000	8.69	8.5	1.3	7.24	10.72
560000	73.45	75.38	22.35	36.99	103.15
570000	-0.06	-0.05	0.01	-0.08	-0.04
580000	97.85	97.65	0.76	96.97	99.89
590000	66.08	101.86	44.42	10.17	102.97
600000	96.63	97.12	3.76	86.22	101.01
610000	87.12	103.53	33.41	16.07	104.97
620000	97.94	97.78	0.77	96.79	99.01
630000	97.67	97.7	0.71	96.41	99.25
640000	92.04	95.86	13.17	52.67	98.5
650000	90.47	97.23	21.72	25.46	101.14
660000	96.98	96.38	1.14	95.83	99.08
670000	97.93	98.04	0.85	96.31	98.8
680000	85.0	96.17	21.32	33.43	99.0
690000	97.78	97.76	1.34	95.84	99.33
700000	97.56	97.84	1.11	95.38	99.2
710000	97.0	97.01	0.85	95.43	98.45
720000	95.38	95.38	0.96	93.99	97.02
730000	93.97	95.42	7.01	73.46	99.54
740000	97.61	97.61	0.52	96.48	98.36
750000	92.02	95.8	13.0	53.21	99.16
760000	95.39	95.54	0.65	94.23	96.47
770000	95.61	95.9	1.15	94.17	97.04
780000	86.55	95.9	16.28	48.79	96.9
790000	90.95	94.5	9.34	68.1	99.18
800000	91.43	95.66	12.62	53.68	97.31
810000	94.47	94.54	0.62	93.54	95.49
820000	93.21	95.94	10.11	63.24	98.86
830000	94.96	94.81	0.7	93.62	96.41
840000	95.06	95.28	1.02	93.39	96.42
850000	95.42	95.29	1.26	94.08	98.42
860000	95.33	95.34	0.69	93.91	96.62
870000	96.24	95.87	0.95	95.37	98.3
880000	93.74	93.74	0.66	92.57	94.72
890000	95.18	95.2	0.7	94.28	96.75
900000	95.15	94.93	1.06	93.87	97.11
910000	86.58	94.68	14.24	53.08	95.97
920000	94.98	95.0	0.76	93.38	96.18
930000	89.58	94.51	14.69	45.61	96.01
940000	94.6	94.76	0.71	93.42	95.7
950000	94.86	95.19	0.96	93.36	96.44
960000	88.96	93.05	8.88	66.62	93.83
970000	94.25	94.14	0.77	93.41	95.84
980000	90.03	95.02	13.51	49.81	96.06
990000	94.68	94.59	0.57	93.82	95.74
1000000	94.99	94.84	0.57	94.0	95.74
1010000	93.86	95.23	3.0	87.48	96.09
1020000	94.88	94.79	0.73	93.76	96.31
1030000	94.03	95.96	6.45	74.86	97.7
1040000	93.63	94.74	3.4	83.68	95.83
1050000	94.66	94.77	0.76	93.46	95.94
1060000	95.03	95.1	0.93	92.79	96.13
1070000	94.38	94.21	0.59	93.62	95.65
1080000	95.13	95.17	0.54	94.43	96.07
1090000	94.53	94.49	0.7	93.81	96.24
1100000	95.33	95.54	0.64	94.1	96.05
1110000	94.53	94.47	0.43	93.8	95.48
1120000	87.07	95.41	16.94	52.07	96.09
1130000	95.24	95.1	0.51	94.72	96.59
1140000	95.1	95.37	0.79	93.75	96.2
1150000	95.46	95.33	0.88	94.34	97.36
1160000	95.72	95.76	0.77	94.16	96.72
1170000	95.55	95.54	0.73	94.18	96.66
1180000	95.74	95.59	0.79	94.65	96.96
1190000	94.96	95.12	0.51	93.86	95.74
1200000	94.99	94.87	0.4	94.51	95.63
1210000	94.38	94.26	0.54	93.79	95.55
1220000	95.79	95.51	0.87	94.7	97.5
1230000	95.35	95.32	0.67	94.45	96.61
1240000	94.59	94.75	0.48	93.55	95.19
1250000	94.82	94.5	0.85	93.84	96.38
1260000	95.49	95.38	0.39	94.89	96.04
1270000	94.19	94.09	0.71	93.32	96.01
1280000	94.54	94.75	0.64	93.18	95.23
1290000	94.62	94.55	0.48	93.97	95.28
1300000	95.56	95.85	1.17	92.85	96.87
1310000	95.15	94.99	0.51	94.63	96.15
1320000	95.75	95.89	0.69	94.15	96.71
1330000	95.23	95.32	0.52	94.47	95.9
1340000	94.99	94.92	0.72	94.01	96.49
1350000	95.5	95.57	0.46	94.66	96.27
1360000	94.22	94.22	0.46	93.61	95.12
1370000	94.07	94.12	0.32	93.61	94.66
1380000	94.77	94.89	0.43	93.96	95.37
1390000	94.23	94.24	0.71	92.85	95.52
1400000	94.39	94.46	0.51	93.47	95.41
1410000	94.47	94.58	0.6	93.11	95.45
1420000	95.29	95.14	0.62	94.76	96.91
1430000	94.66	94.59	0.43	94.16	95.48
1440000	95.35	95.06	0.77	94.38	96.82
1450000	95.07	94.92	0.68	94.03	96.34
1460000	94.7	94.75	0.49	93.72	95.32
1470000	95.34	95.2	0.72	94.2	97.11
1480000	94.38	94.46	0.46	93.4	94.95
1490000	95.47	95.5	0.63	94.22	96.32
1500000	94.47	94.3	0.5	93.65	95.33
1510000	95.68	95.48	0.83	94.55	97.53
1520000	95.45	95.32	0.9	94.23	97.06
1530000	94.4	94.12	0.51	93.92	95.21
1540000	94.6	94.61	0.52	93.51	95.53
1550000	94.71	94.7	0.42	94.08	95.51
1560000	95.04	95.17	0.47	94.12	95.54
1570000	95.16	94.96	0.67	94.4	96.25
1580000	95.48	95.44	0.46	94.75	96.23
1590000	94.64	94.65	0.32	94.03	95.28
1600000	94.85	94.79	0.6	93.91	95.96
1610000	94.87	94.89	0.71	93.83	96.31
1620000	94.57	94.5	0.56	93.71	95.48
1630000	95.14	95.23	0.59	94.25	96.05
1640000	94.77	94.75	0.5	93.69	95.48
1650000	94.39	94.3	0.42	93.54	95.19
1660000	94.28	94.22	0.51	93.53	95.44
1670000	94.39	94.28	0.34	93.93	95.04
1680000	94.44	94.56	0.46	93.47	95.36
