steps	mean	median	std	min	max
1380000	95.29	95.18	1.04	93.98	97.81
1390000	94.79	94.96	0.93	92.76	96.1
1400000	94.82	94.83	0.71	93.62	96.07
1410000	94.99	95.06	1.27	92.28	96.99
1420000	94.1	94.06	0.91	92.43	95.69
1430000	94.44	94.32	0.84	93.23	96.03
1440000	94.52	94.29	0.73	93.57	95.63
1450000	93.93	93.73	0.95	92.85	95.79
1460000	94.74	94.56	0.63	93.96	96.24
1470000	94.08	94.01	1.14	92.18	96.29
1480000	94.24	94.19	0.48	93.62	95.08
1490000	94.22	94.19	0.55	93.5	94.99
1500000	94.17	94.01	0.44	93.48	94.97
1510000	94.78	94.71	0.48	94.1	95.55
1520000	94.28	94.41	0.87	92.95	95.61
1530000	93.97	93.97	0.69	92.81	94.91
1540000	94.64	94.83	0.83	92.33	95.3
1550000	94.23	94.42	0.55	93.19	95.01
1560000	94.24	94.28	0.8	92.78	95.18
1570000	94.26	94.11	0.8	93.13	95.27
1580000	93.88	93.83	1.04	92.43	95.83
1590000	94.04	94.13	0.34	93.38	94.65
1600000	94.61	93.99	0.93	93.8	96.24
1610000	94.26	94.35	0.64	93.16	95.14
1620000	94.6	94.69	0.88	93.33	96.26
1630000	94.27	94.52	0.73	92.88	95.41
1640000	94.67	94.83	0.69	93.16	95.5
1650000	93.92	94.11	0.87	92.26	95.38
1660000	95.1	94.81	0.9	93.83	97.13
1670000	94.36	94.34	0.59	93.51	95.72
1680000	94.36	94.52	0.71	92.64	95.46
1690000	94.21	94.18	0.28	93.79	94.77
1700000	93.93	94.0	1.01	91.96	95.53
1710000	94.36	94.53	0.58	93.35	95.06
1720000	93.91	93.87	0.98	92.37	95.23
1730000	93.89	93.58	0.73	92.87	95.16
1740000	94.19	94.31	0.93	92.58	95.35
1750000	94.36	94.19	0.83	93.55	96.62
1760000	93.94	93.87	0.71	92.57	94.88
1770000	94.61	94.9	1.03	92.18	96.03
1780000	94.15	94.08	0.64	93.3	95.53
1790000	94.29	94.52	0.61	93.03	94.9
1800000	94.83	95.04	0.79	93.79	96.62
1810000	94.38	94.4	0.61	93.38	95.39
1820000	94.63	94.68	0.48	93.88	95.44
1830000	93.81	93.87	0.48	92.65	94.47
1840000	94.48	94.36	0.72	93.6	95.52
1850000	94.52	94.57	0.91	92.94	96.4
1860000	94.42	94.4	0.65	93.37	95.38
1870000	94.58	94.49	0.56	93.25	95.19
1880000	94.22	94.29	0.7	92.53	95.23
1890000	94.8	94.71	0.7	93.61	96.01
1900000	94.86	95.0	0.6	94.01	95.68
1910000	94.49	94.49	0.97	92.59	95.9
1920000	94.43	94.25	1.02	92.88	96.47
1930000	94.9	94.92	0.52	94.26	96.06
1940000	94.51	94.7	0.9	92.45	95.81
1950000	94.79	95.12	0.75	93.44	95.76
1960000	94.99	94.96	0.55	94.04	95.89
1970000	95.18	94.68	2.02	93.16	100.62
1980000	94.79	94.85	0.69	93.82	95.79
1990000	94.52	94.36	0.73	93.84	96.48
2000000	93.99	94.26	0.9	92.54	95.74
