steps	mean	median	std	min	max
0	-0.39	-0.41	0.13	-0.48	-0.03
10000	-0.08	-0.19	0.56	-0.51	1.56
20000	-0.15	-0.16	0.01	-0.16	-0.14
30000	-0.12	-0.12	0.0	-0.12	-0.12
40000	0.29	0.28	0.29	-0.11	0.83
50000	-0.11	-0.11	0.0	-0.12	-0.11
60000	0.17	0.11	0.15	0.01	0.52
70000	0.83	0.62	0.37	0.43	1.37
80000	-0.13	-0.13	0.0	-0.14	-0.13
90000	-0.17	-0.17	0.01	-0.18	-0.15
100000	-0.01	-0.07	0.12	-0.11	0.25
110000	0.31	0.31	0.09	0.18	0.46
120000	0.06	0.05	0.05	0.01	0.18
130000	-0.11	-0.11	0.01	-0.12	-0.1
140000	-0.14	-0.13	0.01	-0.16	-0.12
150000	0.04	0.0	0.11	-0.09	0.26
160000	3.73	1.71	3.87	1.05	11.66
170000	2.1	1.87	0.82	1.12	3.48
180000	0.03	0.01	0.08	-0.04	0.24
190000	-0.06	-0.06	0.01	-0.07	-0.05
200000	-0.09	-0.1	0.01	-0.1	-0.08
210000	-0.05	-0.08	0.08	-0.11	0.14
220000	-0.04	-0.07	0.1	-0.11	0.25
230000	0.03	0.03	0.06	-0.05	0.14
240000	-0.08	-0.08	0.01	-0.1	-0.07
250000	-0.09	-0.09	0.01	-0.1	-0.07
260000	-0.12	-0.12	0.01	-0.13	-0.1
270000	-0.1	-0.1	0.01	-0.11	-0.08
280000	-0.11	-0.1	0.01	-0.13	-0.09
290000	0.11	0.15	0.12	-0.07	0.25
300000	-0.04	-0.04	0.06	-0.1	0.12
310000	-0.1	-0.1	0.02	-0.12	-0.07
320000	0.09	-0.01	0.15	-0.03	0.4
330000	0.0	-0.01	0.04	-0.05	0.1
340000	5.9	0.67	8.78	0.34	29.93
350000	6.29	0.46	13.65	-0.1	45.9
360000	9.47	0.11	19.18	-0.12	55.19
370000	4.04	0.06	12.02	-0.2	40.09
380000	19.08	0.46	28.26	0.04	75.06
390000	23.77	20.36	17.37	2.23	47.66
400000	30.36	21.89	21.09	5.55	69.23
410000	37.71	41.84	15.44	12.93	62.04
420000	74.19	73.24	27.1	14.22	108.7
430000	78.12	100.01	28.86	30.11	103.41
440000	95.64	101.98	15.05	53.28	104.11
450000	67.99	82.26	35.07	18.41	106.26
460000	75.96	78.99	24.31	33.68	102.44
470000	75.76	100.9	32.88	26.18	102.14
480000	57.7	52.07	32.05	16.64	102.89
490000	73.38	100.32	33.83	27.05	101.85
500000	80.86	101.1	29.19	31.53	101.62
