steps	mean	median	std	min	max
0	-0.25	-0.28	0.11	-0.4	0.02
10000	-0.26	-0.19	0.21	-0.69	0.13
20000	-0.1	-0.1	0.0	-0.1	-0.09
30000	10.84	11.11	3.42	2.47	17.44
40000	-0.03	-0.08	0.14	-0.11	0.32
50000	-0.16	-0.16	0.01	-0.17	-0.15
60000	-0.15	-0.15	0.0	-0.16	-0.14
70000	-0.16	-0.15	0.01	-0.17	-0.14
80000	0.35	0.07	0.8	-0.07	2.7
90000	3.26	3.57	1.47	0.67	4.98
100000	-0.13	-0.14	0.01	-0.14	-0.12
110000	-0.13	-0.13	0.01	-0.14	-0.12
120000	10.58	11.06	3.83	1.6	14.91
130000	-0.77	-0.74	0.51	-1.82	-0.07
140000	-0.02	-0.01	0.13	-0.28	0.2
150000	-0.08	-0.03	0.21	-0.52	0.3
160000	-0.19	-0.2	0.22	-0.52	0.29
170000	0.21	0.25	0.21	-0.2	0.47
180000	21.22	22.96	6.59	2.19	25.93
190000	13.96	16.42	11.67	0.3	26.85
200000	39.46	40.53	16.06	13.26	65.46
210000	34.08	32.49	18.98	10.45	79.07
220000	34.96	30.1	19.63	9.44	78.2
230000	21.41	17.22	17.87	-0.21	62.31
240000	-0.18	-0.18	0.03	-0.25	-0.14
250000	-0.21	-0.21	0.01	-0.24	-0.18
260000	2.48	0.38	6.52	-0.12	22.01
270000	-0.16	-0.16	0.02	-0.21	-0.14
280000	11.42	13.09	4.12	2.14	15.2
290000	10.28	10.26	0.87	8.9	11.72
300000	-0.35	-0.37	0.04	-0.38	-0.25
310000	-0.38	-0.38	0.01	-0.4	-0.36
320000	3.02	2.04	2.73	1.38	11.09
330000	20.29	18.86	5.5	14.19	28.09
340000	6.76	1.08	9.22	-0.22	21.05
350000	6.35	6.89	1.57	2.1	7.53
360000	7.33	7.37	0.57	6.43	8.42
370000	-0.28	-0.28	0.03	-0.32	-0.21
380000	18.13	22.35	8.43	1.25	22.59
390000	4.25	2.04	5.78	0.71	21.02
400000	4.61	0.09	8.89	0.06	22.46
410000	13.33	11.73	3.22	9.6	17.91
420000	4.06	3.01	2.55	1.98	9.68
430000	7.69	9.1	3.61	2.21	11.83
440000	-0.07	-0.07	0.01	-0.08	-0.06
450000	4.6	3.25	2.4	2.09	7.75
460000	20.04	9.4	22.91	2.04	77.78
470000	0.13	0.16	0.18	-0.14	0.4
480000	45.57	54.02	15.47	20.4	59.12
490000	50.05	51.41	7.48	28.66	58.03
500000	-0.24	-0.22	0.09	-0.37	-0.11
510000	11.29	11.88	1.54	6.91	12.36
520000	-0.12	-0.12	0.0	-0.13	-0.12
530000	4.0	1.62	6.07	0.25	21.73
540000	-0.11	-0.11	0.01	-0.12	-0.1
550000	76.35	80.64	9.81	52.4	83.62
560000	76.89	80.19	12.07	40.92	83.08
570000	-0.24	-0.17	0.16	-0.59	-0.12
580000	0.91	0.9	0.19	0.62	1.21
590000	0.99	1.0	0.1	0.82	1.15
600000	17.54	2.37	26.11	1.34	79.95
610000	40.29	39.62	11.0	26.79	61.14
620000	-0.35	-0.18	0.38	-1.02	0.05
630000	-0.25	-0.25	0.04	-0.32	-0.17
640000	-0.21	-0.22	0.04	-0.27	-0.15
650000	17.52	12.3	12.35	7.96	52.62
660000	-0.46	-0.47	0.09	-0.6	-0.26
670000	-0.16	-0.17	0.04	-0.22	-0.1
680000	47.34	65.51	29.68	1.48	70.26
690000	34.3	11.37	36.81	1.01	81.01
700000	80.08	88.91	26.43	0.84	90.17
710000	0.03	0.04	0.13	-0.15	0.3
720000	90.5	90.93	1.51	87.28	92.63
730000	0.11	0.11	0.02	0.09	0.14
740000	0.19	0.2	0.06	0.07	0.26
750000	0.29	0.28	0.07	0.16	0.4
760000	28.45	23.94	25.63	1.3	91.12
770000	0.09	0.09	0.02	0.06	0.13
780000	0.25	0.23	0.04	0.21	0.32
790000	23.96	24.59	6.29	6.49	30.59
800000	17.16	17.86	7.83	4.74	31.69
810000	13.03	7.85	9.93	4.06	32.73
820000	10.79	7.93	6.28	6.39	24.42
830000	22.61	28.68	9.38	4.82	30.24
840000	10.67	7.64	6.61	4.91	27.27
850000	6.25	6.55	0.97	4.76	7.38
860000	8.63	7.66	6.83	0.23	22.27
870000	7.0	6.59	1.09	5.84	9.77
880000	10.56	10.5	4.97	3.37	19.56
890000	6.74	5.66	2.41	3.85	11.96
900000	11.52	10.14	6.13	4.73	20.45
910000	16.51	20.4	6.91	6.01	25.99
920000	13.98	12.07	6.23	6.0	24.61
930000	16.17	14.6	10.52	5.14	35.47
940000	19.31	17.51	16.15	5.05	60.85
950000	15.51	6.68	13.3	5.76	44.74
960000	10.71	7.73	11.23	0.13	40.69
970000	-0.06	-0.06	0.01	-0.08	-0.05
980000	28.62	26.77	4.07	24.06	35.52
990000	32.12	30.43	12.84	13.88	55.63
1000000	15.55	11.54	7.98	7.82	28.03
1010000	25.19	27.52	11.44	4.4	36.39
1020000	13.1	9.47	6.79	6.19	29.2
