steps	mean	median	std	min	max
0	-0.06	-0.08	0.06	-0.16	0.08
10000	0.65	0.4	0.94	-0.47	2.09
20000	1.23	0.58	1.69	-0.73	5.3
30000	-0.17	-0.17	0.01	-0.18	-0.15
40000	-0.11	-0.11	0.0	-0.11	-0.1
50000	0.16	0.06	0.32	-0.14	0.83
60000	-0.13	-0.13	0.01	-0.14	-0.12
70000	5.14	4.92	1.25	2.83	7.04
80000	-0.14	-0.14	0.0	-0.14	-0.13
90000	-0.15	-0.15	0.01	-0.16	-0.14
100000	-0.13	-0.13	0.01	-0.14	-0.12
110000	-0.04	-0.05	0.05	-0.1	0.07
120000	-0.01	-0.02	0.07	-0.1	0.12
130000	0.16	0.13	0.17	-0.1	0.56
140000	-0.37	-0.31	0.27	-0.88	-0.06
150000	0.48	0.21	2.01	-1.6	6.07
160000	-0.38	-0.3	0.3	-1.05	-0.06
170000	0.13	0.03	0.78	-1.13	1.46
180000	0.2	0.21	0.06	0.11	0.32
190000	2.35	1.15	3.13	0.62	11.51
200000	4.23	1.07	7.02	-0.47	19.59
210000	4.96	6.37	2.45	0.9	7.18
220000	5.7	6.5	2.29	0.93	7.92
230000	9.74	10.75	7.27	-0.16	21.1
240000	13.76	10.34	9.12	6.07	39.6
250000	-0.05	-0.05	0.04	-0.11	0.02
260000	1.44	0.36	2.07	0.28	6.84
270000	8.51	8.43	0.43	8.07	9.62
280000	-0.0	-0.01	0.09	-0.12	0.2
290000	-0.08	-0.06	0.09	-0.26	0.03
300000	4.57	2.23	4.49	0.9	12.65
310000	15.15	14.75	6.4	3.18	31.3
320000	14.42	14.47	1.53	10.43	16.48
330000	46.52	44.06	26.12	17.37	84.8
340000	12.45	9.78	5.71	7.64	24.5
350000	26.6	23.65	6.21	21.19	39.05
360000	49.4	42.43	28.64	1.35	90.28
370000	71.55	77.87	19.64	12.69	79.69
380000	55.97	70.99	27.77	0.83	73.32
390000	-0.42	-0.41	0.01	-0.44	-0.41
400000	22.06	22.12	0.26	21.56	22.34
410000	17.88	18.88	5.54	2.18	24.41
420000	73.78	74.38	3.87	66.58	78.33
430000	10.27	-0.07	22.73	-0.11	74.83
440000	37.16	41.2	10.2	17.76	45.94
450000	16.23	1.7	29.19	1.18	76.54
460000	34.31	25.99	24.64	8.67	76.39
470000	42.13	41.25	40.01	1.5	85.53
480000	85.08	85.41	1.45	82.19	87.01
490000	0.48	0.42	0.13	0.33	0.73
500000	-0.15	-0.15	0.0	-0.16	-0.14
510000	19.61	23.37	8.16	2.77	25.96
520000	17.52	17.48	0.2	17.23	17.92
530000	8.88	8.93	0.59	7.58	9.62
540000	5.79	5.25	1.21	4.2	7.84
550000	1.57	1.66	0.23	1.21	1.85
560000	9.16	6.67	5.43	5.51	23.96
570000	12.98	15.21	5.24	2.43	16.62
580000	16.32	17.0	4.67	2.84	20.97
590000	13.8	13.86	1.18	11.84	15.33
600000	5.67	5.26	1.57	4.27	10.08
610000	10.71	12.01	3.82	4.23	15.11
620000	25.72	23.58	12.42	14.06	60.94
630000	32.42	30.18	14.74	10.49	61.45
640000	38.94	35.84	19.19	11.87	74.19
650000	74.18	93.59	32.32	17.91	102.68
660000	90.71	98.86	25.03	15.65	100.13
670000	73.65	78.32	24.06	42.33	98.36
680000	33.97	34.67	16.99	9.69	73.27
690000	58.4	59.25	36.14	13.3	103.71
700000	6.82	6.86	0.19	6.37	7.12
710000	62.24	98.58	46.69	4.09	102.78
720000	8.14	7.86	2.2	4.95	13.45
730000	4.71	4.76	0.42	4.17	5.3
740000	-0.23	-0.23	0.02	-0.28	-0.2
750000	27.03	22.55	12.81	15.6	62.02
760000	16.57	6.33	23.62	6.06	85.23
770000	36.74	36.33	21.06	8.84	76.52
780000	35.75	31.69	15.03	7.59	59.5
790000	90.82	98.69	17.26	55.14	100.87
800000	0.1	0.1	0.01	0.08	0.11
810000	88.86	98.83	20.44	32.81	100.84
820000	2.62	2.59	0.37	1.83	3.2
830000	61.73	58.97	14.85	39.89	89.55
840000	-0.28	-0.28	0.01	-0.3	-0.26
850000	14.13	7.99	17.54	7.28	66.67
860000	40.21	25.65	35.2	7.76	104.32
870000	-0.06	-0.06	0.02	-0.09	-0.03
880000	21.63	7.89	29.06	6.83	99.66
890000	34.52	12.79	36.74	8.48	102.1
900000	61.18	49.75	28.27	30.0	102.37
910000	13.81	9.15	10.87	7.79	45.38
920000	65.27	71.88	31.05	11.58	100.63
930000	63.04	59.92	35.62	5.28	102.55
940000	81.59	99.71	36.86	7.63	101.32
950000	46.48	15.99	43.57	6.39	100.2
960000	66.43	99.72	41.75	7.38	101.43
970000	54.8	55.8	45.59	7.02	102.11
980000	91.96	99.94	19.78	34.37	100.99
990000	86.33	98.8	26.86	14.62	99.43
1000000	100.44	100.39	0.57	99.46	101.19
1010000	100.41	100.39	0.54	99.49	101.25
1020000	97.93	98.0	0.59	96.89	98.94
1030000	81.29	98.34	34.32	10.77	99.4
1040000	98.7	98.7	0.59	97.54	99.54
1050000	81.63	98.49	34.3	11.54	99.47
1060000	80.89	98.84	36.07	7.66	99.73
1070000	97.4	97.38	0.76	96.24	98.56
1080000	91.42	97.16	17.41	39.19	97.94
1090000	88.47	97.08	26.61	8.67	98.17
1100000	96.93	96.99	0.51	96.01	97.99
1110000	96.89	96.75	0.52	95.95	97.67
1120000	61.51	95.56	42.31	7.56	96.86
1130000	96.42	96.42	0.56	95.67	97.44
1140000	96.0	95.89	0.38	95.55	96.91
1150000	96.22	96.02	0.51	95.76	97.5
1160000	69.48	95.33	39.92	8.15	96.32
1170000	79.44	96.05	33.5	9.72	97.32
1180000	87.03	95.57	25.72	9.86	96.02
1190000	87.63	96.11	25.54	11.01	96.67
1200000	95.55	95.57	0.28	94.98	95.96
1210000	87.01	95.6	25.94	9.2	96.59
1220000	87.2	95.75	25.56	10.51	96.17
1230000	95.43	95.34	0.38	95.01	96.28
1240000	95.33	95.3	0.34	94.83	95.91
1250000	95.36	95.54	0.48	94.23	95.91
1260000	95.17	95.26	0.49	94.25	95.87
1270000	95.01	94.98	0.47	94.35	95.68
1280000	71.33	95.2	36.89	14.5	95.94
1290000	94.85	94.85	0.32	94.41	95.57
1300000	94.91	94.92	0.35	94.4	95.54
1310000	86.71	95.22	25.68	9.67	95.76
1320000	95.2	95.15	0.22	94.98	95.69
1330000	69.76	94.42	38.08	8.68	95.47
1340000	52.99	55.33	42.4	7.97	96.09
1350000	60.7	94.48	41.83	8.09	95.32
1360000	78.46	94.5	32.5	12.09	95.3
1370000	68.87	94.28	39.45	8.32	95.63
1380000	78.83	94.97	32.52	8.55	95.5
1390000	77.51	93.63	33.07	8.87	95.4
1400000	86.13	94.64	25.45	9.77	94.91
1410000	95.44	95.44	0.33	95.01	95.96
1420000	95.21	95.22	0.44	94.57	95.85
