steps	mean	median	std	min	max
0	-0.07	-0.12	0.13	-0.19	0.27
10000	-0.25	-0.25	0.03	-0.29	-0.21
20000	-0.11	-0.11	0.0	-0.12	-0.11
30000	-0.14	-0.15	0.01	-0.15	-0.13
40000	2.05	1.87	0.52	1.51	3.35
50000	-0.12	-0.12	0.0	-0.12	-0.12
60000	-0.14	-0.14	0.0	-0.15	-0.13
70000	-0.12	-0.13	0.01	-0.13	-0.11
80000	0.0	-0.02	0.09	-0.08	0.15
90000	-0.1	-0.1	0.03	-0.14	-0.03
100000	-0.13	-0.13	0.01	-0.14	-0.11
110000	-0.12	-0.12	0.01	-0.15	-0.09
120000	-0.14	-0.14	0.01	-0.15	-0.13
130000	-0.14	-0.14	0.0	-0.14	-0.13
140000	-0.12	-0.12	0.01	-0.13	-0.11
150000	-0.14	-0.14	0.0	-0.15	-0.14
160000	-0.14	-0.14	0.0	-0.14	-0.13
170000	-0.12	-0.12	0.01	-0.13	-0.11
180000	-0.13	-0.13	0.0	-0.14	-0.13
190000	-0.09	-0.09	0.01	-0.1	-0.07
200000	-0.02	-0.02	0.02	-0.05	0.01
210000	-0.02	-0.03	0.03	-0.09	0.03
220000	0.08	0.08	0.02	0.05	0.12
230000	0.04	0.03	0.02	0.01	0.06
240000	-0.08	-0.08	0.01	-0.09	-0.06
250000	-0.02	-0.02	0.02	-0.05	0.02
260000	10.49	14.71	6.63	1.74	17.16
270000	-0.16	-0.16	0.01	-0.18	-0.15
280000	15.33	9.75	14.84	2.88	48.42
290000	14.85	15.97	3.44	9.44	20.56
300000	5.22	2.79	8.61	-0.06	29.99
310000	9.12	12.44	6.04	1.59	19.75
320000	29.55	31.64	5.33	19.12	37.82
330000	-0.12	-0.12	0.02	-0.15	-0.09
340000	12.86	12.1	3.92	7.59	19.16
350000	35.54	29.64	15.5	21.73	65.89
360000	5.77	2.47	6.71	1.94	19.88
370000	16.82	17.72	2.35	12.46	19.43
380000	20.9	21.28	2.89	15.46	24.61
390000	-0.14	-0.13	0.01	-0.17	-0.12
400000	1.61	0.34	3.85	0.14	13.14
410000	15.01	13.86	3.04	12.77	23.47
420000	15.41	16.21	4.81	4.81	21.97
430000	20.26	18.37	6.41	13.66	34.4
440000	18.23	17.54	2.4	15.13	23.66
450000	11.61	10.89	6.33	4.49	23.54
