steps	mean	median	std	min	max
1880000	93.99	93.95	0.41	93.39	94.78
1890000	94.04	93.98	0.77	92.92	95.26
1900000	94.28	94.39	0.42	93.67	94.83
1910000	93.75	93.83	0.69	92.75	95.2
1920000	94.24	94.42	0.69	92.9	95.05
1930000	93.79	93.75	0.65	93.02	95.42
1940000	94.03	93.89	0.78	93.02	95.79
1950000	93.88	93.69	0.72	92.89	95.57
1960000	94.43	94.48	0.71	92.92	95.5
1970000	94.44	94.45	0.81	92.96	96.11
1980000	94.38	94.82	0.72	93.15	95.0
1990000	93.75	93.67	0.25	93.55	94.44
2000000	94.32	94.12	0.8	93.09	95.87
