steps	mean	median	std	min	max
0	-0.12	-0.14	0.05	-0.17	0.02
10000	-0.19	-0.21	0.08	-0.32	-0.08
20000	-0.16	-0.15	0.01	-0.18	-0.14
30000	-0.12	-0.12	0.0	-0.13	-0.12
40000	0.28	0.17	0.4	-0.17	1.19
50000	-0.17	-0.16	0.11	-0.42	0.06
60000	-0.09	-0.16	0.16	-0.23	0.3
70000	-0.2	-0.19	0.02	-0.23	-0.17
80000	0.51	0.55	0.23	0.23	1.04
90000	27.09	27.82	18.96	0.15	56.68
100000	-0.12	-0.12	0.0	-0.13	-0.12
110000	0.02	-0.43	1.53	-0.86	4.53
120000	-0.11	-0.11	0.02	-0.14	-0.09
130000	1.44	1.07	0.99	0.43	3.65
140000	-0.03	-0.03	0.01	-0.05	-0.01
150000	-0.09	-0.08	0.01	-0.1	-0.07
160000	-0.11	-0.11	0.01	-0.12	-0.1
170000	0.87	0.22	2.05	-0.07	6.99
180000	0.07	0.06	0.04	0.02	0.12
190000	-0.07	-0.07	0.02	-0.09	0.0
200000	0.27	0.14	0.3	0.08	0.96
210000	-0.04	-0.07	0.06	-0.1	0.09
220000	-0.06	-0.06	0.01	-0.09	-0.04
230000	-0.05	-0.06	0.03	-0.09	-0.01
240000	0.27	0.12	0.4	-0.04	1.41
250000	0.46	0.43	0.23	0.11	0.81
260000	-0.09	-0.09	0.01	-0.1	-0.06
270000	0.25	-0.06	0.89	-0.08	2.91
280000	-0.11	-0.11	0.01	-0.12	-0.09
290000	-0.1	-0.1	0.01	-0.12	-0.09
300000	-0.11	-0.11	0.0	-0.12	-0.11
310000	-0.09	-0.09	0.01	-0.11	-0.07
320000	-0.09	-0.09	0.01	-0.1	-0.08
330000	-0.1	-0.1	0.01	-0.11	-0.08
340000	-0.03	-0.09	0.11	-0.13	0.18
350000	6.58	5.99	1.4	5.58	9.84
360000	5.18	5.06	0.41	4.6	5.98
370000	7.67	4.32	13.07	-0.15	45.95
380000	5.28	5.36	0.52	4.05	5.96
390000	6.67	5.29	4.0	4.95	18.66
400000	0.01	-0.0	0.02	-0.02	0.05
410000	17.0	18.63	8.02	6.56	28.72
420000	14.65	5.67	16.94	4.98	53.54
430000	15.23	9.43	13.22	5.56	42.92
440000	24.38	19.88	21.32	2.14	56.12
450000	16.09	9.73	11.51	6.58	45.51
460000	44.14	42.36	29.89	0.43	95.75
470000	25.75	5.87	37.97	4.79	103.05
480000	6.12	5.75	1.18	5.33	9.52
490000	5.48	5.42	0.43	4.93	6.41
500000	4.94	4.95	0.16	4.67	5.16
510000	4.92	4.92	0.19	4.56	5.22
520000	5.53	5.53	0.22	5.16	5.83
530000	6.19	5.72	1.22	5.17	9.53
540000	28.29	30.65	17.58	5.34	61.81
550000	19.61	7.7	18.02	5.12	53.77
560000	18.39	15.71	12.96	5.26	40.04
570000	32.66	33.86	6.06	17.32	39.0
580000	45.67	46.04	5.2	35.43	52.05
590000	33.64	32.05	4.76	27.5	40.16
600000	46.2	45.71	4.99	36.94	52.44
610000	38.34	37.08	3.35	34.35	44.31
620000	38.97	38.25	2.67	36.69	46.39
630000	46.81	45.59	5.1	37.05	56.61
640000	52.48	56.67	10.19	33.32	62.31
650000	36.61	37.21	4.05	26.73	41.05
660000	54.63	54.55	7.52	42.29	69.01
670000	36.59	37.82	7.71	21.8	46.84
680000	44.35	46.44	5.21	33.06	49.89
690000	44.95	42.93	8.37	34.8	63.95
700000	48.24	44.69	7.95	40.3	61.43
710000	53.42	55.34	4.7	45.73	59.99
720000	55.99	55.4	15.38	27.98	91.03
730000	97.51	105.34	23.59	26.75	106.2
740000	102.99	104.41	4.17	90.67	105.2
750000	92.47	106.74	20.04	57.52	107.8
760000	102.36	102.44	1.14	99.78	103.85
770000	104.09	103.98	0.53	103.23	104.99
780000	105.73	105.59	0.76	104.75	107.36
790000	98.66	98.58	0.73	97.48	99.95
800000	103.67	105.64	6.27	84.95	106.69
810000	104.33	104.3	0.56	103.61	105.26
820000	103.12	104.49	2.84	98.08	106.88
830000	106.44	106.49	0.59	105.46	107.4
840000	105.25	105.49	0.95	103.51	107.04
850000	98.8	98.88	0.91	96.81	100.32
860000	102.31	102.1	0.54	101.44	103.3
870000	98.11	97.79	0.96	96.85	100.11
880000	97.49	97.32	0.5	97.01	98.7
890000	96.31	96.28	0.85	95.03	98.19
900000	96.83	96.97	0.8	95.59	98.05
910000	95.23	94.98	0.5	94.61	96.22
920000	96.95	96.76	0.77	95.64	98.23
930000	88.97	94.95	17.94	35.16	95.9
940000	100.5	100.05	1.07	98.93	102.39
950000	94.9	94.8	0.53	94.23	96.1
960000	96.67	96.56	0.42	96.13	97.54
970000	96.67	96.5	0.69	95.7	97.91
980000	95.59	95.74	0.38	94.81	95.97
990000	95.94	96.03	0.64	94.83	96.85
1000000	95.3	95.12	0.62	94.04	96.26
1010000	94.11	94.03	0.56	93.09	95.13
1020000	94.41	94.5	0.47	93.53	95.04
1030000	93.96	93.83	0.35	93.57	94.76
1040000	93.73	93.7	0.41	93.03	94.62
1050000	94.13	94.04	0.62	93.34	95.19
1060000	94.34	94.37	0.55	93.21	95.19
1070000	93.52	93.4	0.7	92.53	94.63
1080000	93.81	93.8	0.36	93.21	94.43
1090000	94.08	94.06	0.7	93.1	95.56
1100000	93.2	93.05	0.45	92.8	94.46
1110000	94.37	94.39	0.35	93.76	94.93
1120000	94.3	94.14	0.85	93.32	96.03
1130000	93.62	93.57	0.5	92.62	94.4
1140000	93.56	93.38	0.43	93.22	94.53
1150000	93.42	93.4	0.55	92.66	94.61
1160000	94.53	94.4	0.68	93.71	96.2
1170000	94.02	94.29	0.5	93.0	94.5
1180000	93.82	93.83	0.26	93.4	94.29
1190000	94.08	93.92	0.39	93.68	94.85
1200000	93.77	93.86	0.44	93.07	94.44
1210000	94.22	94.2	0.6	93.19	95.34
1220000	93.83	93.96	0.41	93.13	94.53
1230000	93.88	94.01	0.46	93.07	94.4
1240000	93.42	93.25	0.62	92.45	94.58
1250000	93.97	93.88	0.4	93.22	94.72
1260000	93.82	93.77	0.36	93.16	94.46
1270000	93.15	93.17	0.63	92.16	94.22
1280000	93.81	93.65	0.53	93.11	94.74
1290000	93.7	93.8	0.57	92.59	94.5
1300000	94.07	94.05	0.62	92.89	94.96
1310000	93.36	93.32	0.45	92.66	94.16
1320000	94.49	94.49	0.79	93.27	95.74
1330000	93.81	93.78	0.45	92.98	94.44
1340000	94.21	94.26	0.68	92.94	95.3
1350000	94.25	94.17	0.49	93.4	94.99
1360000	94.36	94.4	0.27	93.87	94.67
1370000	94.38	94.36	0.5	93.3	95.12
1380000	94.03	94.0	0.64	93.24	94.98
1390000	94.41	94.61	0.54	93.61	95.02
1400000	93.89	94.02	0.46	92.78	94.37
1410000	94.27	94.14	0.41	93.66	95.05
1420000	94.24	94.36	0.51	93.11	95.1
1430000	93.81	93.69	0.62	93.04	94.65
1440000	93.62	93.72	0.54	92.43	94.24
1450000	93.55	93.47	0.55	92.64	94.33
1460000	93.82	93.66	0.54	92.82	94.66
1470000	93.81	93.79	0.5	92.93	94.67
1480000	93.84	93.97	0.65	92.75	94.77
1490000	93.95	94.12	0.7	92.97	95.15
1500000	94.02	94.09	0.39	93.17	94.59
1510000	93.54	93.52	0.41	92.71	94.42
1520000	93.76	93.65	0.47	92.99	94.67
1530000	93.43	93.4	0.39	92.94	94.15
1540000	93.33	93.24	0.53	92.68	94.17
1550000	93.93	93.96	0.33	93.49	94.66
1560000	93.55	93.36	0.75	92.22	95.1
1570000	93.46	93.62	0.45	92.69	94.05
1580000	93.58	93.54	0.67	92.72	95.01
1590000	92.99	92.86	0.91	91.87	94.6
1600000	93.17	92.94	0.65	92.33	94.61
1610000	93.21	93.36	0.72	92.05	94.16
1620000	93.4	93.23	0.79	92.2	94.8
1630000	92.94	93.08	0.62	91.7	93.83
1640000	92.77	92.78	0.38	92.03	93.37
1650000	93.56	93.64	0.42	92.57	94.29
1660000	93.08	93.19	0.53	91.84	93.89
1670000	93.18	93.3	0.54	91.75	93.76
1680000	92.41	92.37	0.53	91.4	93.56
1690000	92.98	92.9	0.54	91.88	93.84
1700000	92.8	92.75	0.54	91.93	93.64
1710000	92.92	93.01	0.45	92.06	93.48
1720000	93.02	93.06	0.47	92.11	93.66
1730000	93.15	93.28	0.56	92.32	94.14
1740000	92.96	92.96	0.79	91.55	94.18
1750000	93.1	93.14	0.56	91.94	93.78
1760000	92.89	93.15	0.83	91.51	94.04
1770000	92.77	92.85	0.6	91.78	93.53
1780000	92.95	92.69	0.82	92.04	94.64
1790000	93.27	93.45	0.53	92.34	93.95
1800000	93.04	93.05	0.62	91.96	94.13
1810000	92.84	92.99	0.72	91.6	93.77
1820000	92.88	92.92	0.52	92.04	93.78
1830000	92.82	92.89	0.87	91.58	94.14
1840000	92.71	92.61	0.58	91.84	93.64
1850000	92.79	92.92	0.67	91.75	93.82
1860000	92.91	92.75	0.57	92.05	93.85
1870000	92.86	92.79	0.66	91.66	93.78
1880000	92.78	92.89	0.41	91.92	93.44
1890000	93.06	93.1	0.33	92.53	93.58
1900000	92.96	92.89	0.65	92.0	94.5
1910000	93.22	93.19	0.32	92.54	93.67
1920000	92.92	93.06	0.69	91.72	93.85
1930000	92.71	92.74	0.62	91.65	93.54
1940000	92.94	92.89	0.38	92.37	93.58
1950000	93.18	93.25	0.58	92.04	94.27
1960000	93.22	93.23	0.6	92.21	94.22
1970000	92.63	92.68	0.51	91.78	93.45
1980000	93.19	93.31	0.73	91.86	94.24
1990000	93.05	93.01	0.58	92.16	94.21
2000000	93.13	92.82	0.9	91.88	94.96
